Sample,Bsi
FISK-10.0,20.37
FISK-110.0,11.82
FISK-270.0,11.29
LSA1-30.0,5.155
LSA2-35.0,10.61
LSA2-50.0,15.3
LSA2-55.0,10.7
LSA3-55.0,10.68
LSA3-95.0,18.125
NAN-DB-10.0,18.87
NAN-DB-2.0,12.2
NAN-DB-31.0,4.95
NAN-DB-4.0,30.61
NANA1A-109cm.0,19.37
NANA1A-116cm.0,5.45
NANA2-132.0,21.61
NANA2-50.0,6.625
NANA2-55.0,5.715
NANA2-60.0,8.375
NANA2-65.0,12.51
NANB3A1-131.5.0,4.875
NANB3A2-10.5.0,8.03
NANB3A2-6.0,4.1
NANDB-13.5,14.1
NANDB-17.0,4.765
NANDB-20.0,7.615
SS.0,0
WQ.0,0